月別,新台幣,人民幣,日圓,韓元,新加坡元,歐元,英鎊,澳幣
2018-06,30.500,6.6246,110.63,1114.5,1.3637,1.1623,1.3114,0.7385
2018-07,30.614,6.8255,111.40,1118.7,1.3623,1.1716,1.3140,0.7419
2018-08,30.731,6.8299,110.80,1112.9,1.3684,1.1683,1.3021,0.7252
2018-09,30.551,6.8814,113.42,1109.3,1.3673,1.1619,1.3061,0.7218
2018-10,30.968,6.9734,113.19,1139.6,1.3855,1.1349,1.2725,0.7084
2018-11,30.850,6.9436,113.47,1121.2,1.3705,1.1381,1.2777,0.7312
2018-12,30.733,6.8658,110.40,1115.7,1.3668,1.1455,1.2657,0.7054
2019-01,30.740,6.7055,108.73,1112.7,1.3453,1.1497,1.3135,0.7270
2019-02,30.775,6.6835,110.37,1119.1,1.3479,1.1379,1.3256,0.7179
2019-03,30.825,6.7202,110.74,1135.1,1.3547,1.1232,1.3025,0.7090
2019-04,30.905,6.7366,111.33,1168.2,1.3620,1.1186,1.2953,0.7043
2019-05,31.612,6.9020,108.77,1190.9,1.3774,1.1144,1.2621,0.6924
2019-06,31.072,6.8683,107.64,1154.7,1.3528,1.1387,1.2676,0.7016
